year,real_gdp,capital_stock,population,human_capital_index,s,real_interest_rate,depreciation_rate,labour_force,consumption_share,total_factor_productivity,consumption,labour_share_output,y,k,n,growth_rate,g,capital_share,A_estimate,actual_investment,break_even_investment,delta_k,c,g_c_dot,estimated_rho,rck_capital_accumulation,c_k_dot_zero
1959,823462.125,3182244.5,72.2803669510164,2.6262686252594,0.378223448991776,0.0907830595970154,0.0335010401904583,36.8119850158691,0.503671646118164,0.485706031322479,796826.125,0.690643131732941,22369.40291714825,86445.88165045112,,,,0.309356868267059,482.921434358745,8460.632723210509,,,21645.83422101525,,,,
1960,901714.0625,3479782.5,72.8486292792539,2.62843894958496,0.411973476409912,0.0906429961323738,0.0335727743804455,37.2704124450684,0.503607273101807,0.511961162090302,842652.375,0.690643131732941,24193.8310671771,93365.81678908796,0.01245321133868991,0.09077991008003394,0.05405559963160337,0.309356868267059,508.9112481454123,9967.216692419082,5359.86150966987,4607.355182749212,22609.15079064276,0.04450355480835444,0.06839121872819658,-3775.181233135525,18833.96955750723
1961,940637.5,3770940.5,73.458911005002,2.65571403503418,0.402836233377457,0.0833948254585266,0.0337216332554817,37.648120880127,0.511452674865723,0.520982146263123,895061.625,0.690643131732941,24984.97874555345,100162.7813512078,0.01013427033079638,0.04226037095948065,0.0176204463166483,0.309356868267059,513.2378923017953,10064.85472887457,5532.694124843551,4532.16060403102,23774.40371725083,0.05153899575433563,0.05762532758135878,-4322.119096540933,19452.2846207099
1962,979229.875,4063574.75,74.1032084334967,2.68327212333679,0.3927401304245,0.0770106688141823,0.0338521189987659,37.7473106384277,0.517383933067322,0.534330129623413,952325.3125,0.690643131732941,25941.71236143959,107652.0335163475,0.002634653628969154,0.04020858400683913,0.02562080765345181,0.309356868267059,520.081771751693,10188.35149626665,5153.076206015635,5035.275290251014,25228.95794145687,0.06118152284722126,0.04641990739057167,-4440.321786032918,20788.63615542396
1963,1000551.3125,4335766.5,74.7585109422917,2.71111607551575,0.378452241420746,0.072649173438549,0.0338500067591667,37.7966804504395,0.518184125423431,0.53851318359375,985933.6875,0.690643131732941,26471.93617471149,114712.8914055092,0.001307902766496544,0.02154001867290667,0.007828594605520696,0.309356868267059,519.4564761173964,10018.36358006649,5338.626879317699,4679.736700748794,26085.19255527731,0.03393856439918395,0.05567989123895702,-4951.88325988352,21133.30929539379
1964,1074843.375,4655771.5,75.3978060615589,2.73924899101257,0.398586004972458,0.0706131607294083,0.033817857503891,37.846923828125,0.507556736469269,0.551878809928894,1031888.875,0.690643131732941,28399.75528476787,123015.8498784036,0.001329306623934296,0.07162379270717345,0.02481949698231894,0.309356868267059,544.2990991478924,11319.74500115108,5723.716671905775,5596.028329245302,27264.8017494404,0.04522141025654189,0.04800245560113736,-4588.763136578302,22676.0386128621
1965,1128441.75,4991601.0,75.9990836306976,2.7676739692688,0.39875653386116,0.0679724141955376,0.0338274128735065,37.9869689941406,0.515831470489502,0.567749083042145,1098322.25,0.690643131732941,29706.02235135053,131402.9819217728,0.00370030511995074,0.04866274546200877,0.02875680824798425,0.309356868267059,556.8039233070049,11845.47050762668,6426.76742869723,5418.703078929452,28913.1320313925,0.06045634577137277,0.03774424130985121,-5633.877108739199,23279.2549226533
1966,1162646.625,5299312.0,76.5543399549438,2.79639387130737,0.377310693264008,0.0673361942172051,0.0337207242846489,37.9016876220703,0.515438675880432,0.571450650691986,1132090.5,0.690643131732941,30675.32603279086,139817.3097947805,-0.002245016497195466,0.0298612808057559,0.006519724576228337,0.309356868267059,563.055821430759,11574.12853153179,5992.126659155244,5582.001872376547,29869.13172016064,0.03306454962161033,0.05080391940639994,-5185.93234652503,24683.19937363561
1967,1157884.5,5533612.0,77.062574572452,2.82541155815125,0.336824089288712,0.0660500526428223,0.0333312526345253,37.1753463745117,0.521577715873718,0.57488626241684,1150624.375,0.690643131732941,31146.5692433702,148851.6594910324,-0.01916382338436164,-0.004104346314331764,0.006012088219155565,0.309356868267059,559.7537207056489,10490.91481986598,3802.944263890794,6687.970555975181,30951.27516522336,0.03622949120855438,0.0479353070385451,-3607.650185743948,27343.62497947941
1968,1223727.625,5811236.0,77.5137828647674,2.8547306060791,0.349317848682404,0.0650875046849251,0.0328213050961494,37.3088188171387,0.515365064144135,0.593356192111969,1194649.375,0.690643131732941,32799.95625157266,155760.3854596026,0.003590348326075443,0.05530699748849877,0.03212797191827264,0.309356868267059,580.5126020218343,11457.61015467633,7444.221135252229,4013.3890194241,32020.56277512622,0.03454744931169447,0.04781378002907786,-6664.82765880579,25355.73511632043
1969,1318964.25,6147858.5,77.8969597515895,2.88435387611389,0.36755496263504,0.0643792301416397,0.032579068094492,37.6952095031738,0.513430535793304,0.619902729988098,1280159.25,0.690643131732941,34990.23529472487,163093.8939199256,0.01035655103231522,0.07494513876909359,0.04473963233052363,0.309356868267059,609.7380240005981,12860.83462634386,8858.728829340118,4002.105797003738,33960.79413996135,0.06059329370507861,0.03408258328910039,-7829.287674576601,26131.50646538475
1970,1406339.625,6533165.0,78.205102,2.91428446769714,0.382926374673843,0.0611622035503387,0.0327126421034336,37.9167823791504,0.525111436843872,0.631742417812347,1368726.25,0.690643131732941,37090.16263398223,172302.7269210597,0.005878011527113078,0.06414354877174944,0.01909926711320702,0.309356868267059,634.4626793435626,14202.80151349405,8610.273224945566,5592.528288548487,36098.164562419,0.06293640877916416,0.02969399916075662,-7618.275153382332,28479.88940903667
1971,1460322.125,6790517.0,78.345872,2.93968844413757,0.362704664468765,0.0578904002904892,0.0329602174460888,37.8544998168945,0.548234581947327,0.641870737075806,1446642.75,0.690643131732941,38577.240012778,179384.6711182639,-0.00164261201367505,0.03766672667283899,0.01603235587461779,0.309356868267059,650.9923297064306,13992.14489496566,7659.497192951758,6332.647702013901,38215.87280237584,0.0586652608415871,0.02855776986969565,-7298.129982549604,30917.74281982624
1972,1534875.625,6854360.5,78.719918,2.96531367301941,0.343712836503983,0.0569317862391472,0.0330243818461895,37.9924163818359,0.563406825065613,0.657102525234222,1522969.375,0.690643131732941,40399.52630477647,180413.9129007087,0.003643333437464859,0.04979230675185597,0.02373030468378725,0.309356868267059,680.4286537111674,13885.83577963199,8668.678760081268,5217.157019550727,40086.14139447389,0.04893957549444667,0.03246199849192387,-8355.293849778689,31730.8475446952
1973,1614309.625,6840683.0,78.966971,2.99116253852844,0.329230308532715,0.0563324727118015,0.0329472124576569,38.350154876709,0.563908100128174,0.676340281963348,1579020.875,0.690643131732941,42093.95321061429,178374.3252665328,0.00941605006845868,0.05045803680244987,0.02927664404008909,0.309356868267059,711.6920745923725,13858.60520289221,9586.618341944493,4271.986860947718,41173.78091630547,0.02713255713810156,0.04276619414275072,-8666.446047635676,32507.33486866979
1974,1619257.375,6818875.0,78.996693,3.01723647117615,0.295138359069824,0.0515796355903149,0.0327640771865845,38.0791549682617,0.57767790555954,0.68159693479538,1599120.625,0.690643131732941,42523.45873614113,179071.0693470853,-0.007066461903961856,0.003060245148065022,0.007772201319685546,0.309356868267059,718.008704670254,12550.30383335807,6639.729150531923,5910.574682826144,41994.64579329134,0.01993659213989732,0.04161133952036624,-6110.91620768213,35883.72958560921
1975,1631517.125,6902539.0,78.701865,3.04353785514832,0.272445380687714,0.0523457042872906,0.0325482748448849,37.3638763427734,0.61433470249176,0.683682441711426,1661962.625,0.690643131732941,43665.62799942341,184738.3000809826,-0.01878399418486223,0.007542699823531507,0.003059736347951909,0.309356868267059,729.5834518873763,11896.49864327101,4645.318958041445,7251.179685229569,44480.46583157698,0.05919373747123628,0.02274883555167246,-5460.156790195023,39020.30904138196
1976,1715663.25,7110232.5,78.364505,3.070068359375,0.285778492689133,0.053090188652277,0.0324441008269787,37.3238792419434,0.604039072990418,0.702420294284821,1723629.0,0.690643131732941,45966.90603564036,190500.897666868,-0.001070475141900951,0.05028940707740759,0.02740724557221263,0.309356868267059,760.1149387825894,13136.35312044831,8144.817829796934,4991.535290651377,46180.32838513313,0.03821593415843681,0.03398222157305859,-8358.240179289707,37822.08820584342
